"Function","Inferred responsibility","Evidence","Confidence"
"___initmbctable","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0044780f; calling convention __stdcall; parameter count 0; return type undefined4.","Unmapped"
"__getbuf","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0044782d; calling convention __cdecl; parameter count 1; return type void.","Unmapped"
"__ZeroTail","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447871; calling convention __cdecl; parameter count 2; return type undefined4.","Unmapped"
"__IncMan","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004478a3; calling convention __cdecl; parameter count 2; return type undefined.","Unmapped"
"__RoundMan","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004478f0; calling convention __cdecl; parameter count 2; return type undefined4.","Unmapped"
"__CopyMan","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447962; calling convention __cdecl; parameter count 2; return type undefined.","Unmapped"
"__IsZeroMan","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0044797d; calling convention __cdecl; parameter count 1; return type undefined4.","Unmapped"
"__ShrMan","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447996; calling convention __cdecl; parameter count 2; return type undefined.","Unmapped"
"__ld12cvt","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447a11; calling convention __cdecl; parameter count 3; return type undefined4.","Unmapped"
"FID_conflict:__ld12tod","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447b69; calling convention __cdecl; parameter count 2; return type INTRNCVT_STATUS.","Unmapped"
"FID_conflict:__ld12tod","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447b7f; calling convention __cdecl; parameter count 2; return type INTRNCVT_STATUS.","Unmapped"
"FUN_00447b95","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447b95; calling convention __cdecl; parameter count 2; return type undefined.","Unmapped"
"FUN_00447bd8","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447bd8; calling convention __cdecl; parameter count 2; return type undefined.","Unmapped"
"FUN_00447c1b","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447c1b; calling convention __cdecl; parameter count 3; return type undefined.","Unmapped"
"___dtold","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447c92; calling convention __cdecl; parameter count 2; return type undefined.","Unmapped"
"FUN_00447d4c","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447d4c; calling convention __cdecl; parameter count 4; return type int *.","Unmapped"
"FUN_00447dbe","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447dbe; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"__abstract_cw","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447dc7; calling convention __stdcall; parameter count 0; return type uint.","Unmapped"
"__hw_cw","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447e59; calling convention __stdcall; parameter count 0; return type uint.","Unmapped"
"__control87","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447ee7; calling convention __cdecl; parameter count 2; return type uint.","Unmapped"
"__controlfp","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447f19; calling convention __cdecl; parameter count 2; return type uint.","Unmapped"
"FUN_00447f2f","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447f2f; calling convention __stdcall; parameter count 1; return type int.","Unmapped"
"FUN_00447f88","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447f88; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FID_conflict:_ValidateRead","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447f95; calling convention __cdecl; parameter count 2; return type bool.","Unmapped"
"FID_conflict:_ValidateRead","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447fb1; calling convention __cdecl; parameter count 2; return type bool.","Unmapped"
"_ValidateExecute","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447fcd; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"_abort","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447fe5; calling convention __cdecl; parameter count 0; return type void.","Unmapped"
"__lseeki64_lk","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447ffd; calling convention __cdecl; parameter count 4; return type undefined8.","Unmapped"
"__lseeki64","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00448080; calling convention __cdecl; parameter count 3; return type longlong.","Unmapped"
"FUN_00448118","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00448118; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FID_conflict:__getenv_lk","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0044813e; calling convention __cdecl; parameter count 1; return type char *.","Unmapped"
"FUN_004481bf","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004481bf; calling convention __cdecl; parameter count 1; return type long.","Unmapped"
"FUN_00448208","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00448208; calling convention __cdecl; parameter count 6; return type LPSTR.","Unmapped"
"FUN_004483d7","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004483d7; calling convention __stdcall; parameter count 0; return type BOOL.","Unmapped"
"FUN_004484a8","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004484a8; calling convention __cdecl; parameter count 3; return type undefined4.","Unmapped"
"FUN_004484d9","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004484d9; calling convention __cdecl; parameter count 1; return type undefined.","Unmapped"
"FUN_004484ea","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004484ea; calling convention __cdecl; parameter count 2; return type int.","Unmapped"
"___addl","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00448625; calling convention __cdecl; parameter count 3; return type undefined4.","Unmapped"
"___add_12","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00448646; calling convention __cdecl; parameter count 2; return type undefined.","Unmapped"
"___shl_12","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004486a4; calling convention __cdecl; parameter count 1; return type undefined.","Unmapped"
"___shr_12","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004486d2; calling convention __cdecl; parameter count 1; return type undefined.","Unmapped"
"FUN_004486ff","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004486ff; calling convention __cdecl; parameter count 3; return type undefined.","Unmapped"
"FUN_004487e3","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004487e3; calling convention __cdecl; parameter count 7; return type undefined4.","Unmapped"
"FUN_00448c1d","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00448c1d; calling convention __cdecl; parameter count 6; return type undefined4.","Unmapped"
"siglookup","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00448eb1; calling convention __cdecl; parameter count 0; return type undefined.","Unmapped"
"_raise","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00448edf; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"FUN_0044901a","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0044901a; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"__mbsnbicoll","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449058; calling convention __cdecl; parameter count 3; return type int.","Unmapped"
"FUN_004490a6","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004490a6; calling convention __stdcall; parameter count 0; return type undefined4.","Unmapped"
"FUN_00449111","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449111; calling convention __cdecl; parameter count 2; return type int.","Unmapped"
"FUN_00449173","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449173; calling convention __cdecl; parameter count 2; return type undefined.","Unmapped"
"FUN_004493ab","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004493ab; calling convention __cdecl; parameter count 3; return type undefined.","Unmapped"
"_strncnt","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449437; calling convention __cdecl; parameter count 2; return type size_t.","Unmapped"
"FUN_00449453","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449453; calling convention __cdecl; parameter count 7; return type int.","Unmapped"
"findenv","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004497dd; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"copy_environ","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0044982a; calling convention __cdecl; parameter count 0; return type undefined4 *.","Unmapped"
"FUN_0044988b","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0044988b; calling convention __cdecl; parameter count 2; return type undefined4.","Unmapped"
"__strdup","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449a40; calling convention __cdecl; parameter count 1; return type char *.","Unmapped"
"__mbschr","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449a6b; calling convention __cdecl; parameter count 2; return type uchar *.","Unmapped"
"RtlUnwind","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449af0; calling convention __stdcall; parameter count 4; return type void.","Unmapped"
"Unwind@00449af6","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449af6; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449b0a","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449b0a; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449b17","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449b17; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449b2e","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449b2e; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449b3c","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449b3c; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449b54","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449b54; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449b62","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449b62; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449b70","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449b70; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449b7a","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449b7a; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449b8e","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449b8e; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449b9c","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449b9c; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449bb4","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449bb4; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449bcb","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449bcb; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449be0","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449be0; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449bf4","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449bf4; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449bfe","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449bfe; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449c08","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449c08; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449c12","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449c12; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449c26","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449c26; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449c3a","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449c3a; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449c4e","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449c4e; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449c58","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449c58; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449c6c","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449c6c; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449c80","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449c80; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"Unwind@00449c94","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449c94; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00449cb7","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449cb7; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00449cd1","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449cd1; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00449ceb","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449ceb; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00449d05","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449d05; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00449d1f","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449d1f; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00449d39","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449d39; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00449d53","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449d53; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00449d6d","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449d6d; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00449d87","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449d87; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00449d96","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449d96; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00449da5","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449da5; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00449db4","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449db4; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00449dc3","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449dc3; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00449dd2","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449dd2; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00449de1","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449de1; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00449df0","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00449df0; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
